model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,representation,history_policy,refit_policy,target
ld2_lasso_characteristics_full_dgtw_select_union,lasso,characteristics,0,cap_spread_bp,11.393876995599117,4.079983847680957,2.792627966425735,0.0052281783717784145,3.3972555966392877,19.390498394558946,2266,2266,0,5,full,select,union,dgtw
ld2_enet_characteristics_full_dgtw_fixed504_retain,enet,characteristics,504,rank_ic,0.0604130602596943,0.0016499063121169944,36.616054994164074,1.5883058545763835e-293,0.057179303310079685,0.06364681720930891,2266,2266,0,5,full,fixed504,retain,dgtw
ld2_enet_characteristics_full_dgtw_fixed504_retain,enet,characteristics,504,ew_spread_bp,14.963379358149291,3.508403876396923,4.265010496316192,1.9989280435379828e-05,8.087034117190607,21.839724599107974,2266,2266,0,5,full,fixed504,retain,dgtw
ld2_enet_characteristics_full_dgtw_fixed504_retain,enet,characteristics,504,cap_spread_bp,10.54487625207464,4.0956772706460916,2.5746355377290726,0.010034576218374485,2.517496309308994,18.572256194840286,2266,2266,0,5,full,fixed504,retain,dgtw
ld2_enet_characteristics_full_dgtw_fixed504_recent,enet,characteristics,504,rank_ic,0.06049551508920959,0.0016427542381748945,36.825663683217954,7.172809284229557e-297,0.057275775946936267,0.06371525423148292,2266,2266,0,5,full,fixed504,recent,dgtw
ld2_enet_characteristics_full_dgtw_fixed504_recent,enet,characteristics,504,ew_spread_bp,15.582768025000957,3.483535034355908,4.473262898555045,7.703496842007105e-06,8.755164818779878,22.410371231222037,2266,2266,0,5,full,fixed504,recent,dgtw
ld2_enet_characteristics_full_dgtw_fixed504_recent,enet,characteristics,504,cap_spread_bp,10.563199773639393,4.129470346876022,2.5580035419386267,0.010527501998723857,2.469586618536267,18.656812928742518,2266,2266,0,5,full,fixed504,recent,dgtw
ld2_enet_characteristics_full_dgtw_fixed504_union,enet,characteristics,504,rank_ic,0.06087576913201584,0.0016599668247473643,36.67288299046622,1.9763916836237106e-294,0.057622293939979696,0.06412924432405198,2266,2266,0,5,full,fixed504,union,dgtw
ld2_enet_characteristics_full_dgtw_fixed504_union,enet,characteristics,504,ew_spread_bp,16.200571968154104,3.5325424698507812,4.586094040318342,4.516152459301217e-06,9.276915953388404,23.124227982919805,2266,2266,0,5,full,fixed504,union,dgtw
ld2_enet_characteristics_full_dgtw_fixed504_union,enet,characteristics,504,cap_spread_bp,10.369217609805391,4.216067597183188,2.459452409333571,0.013914914493605183,2.105876962940018,18.632558256670762,2266,2266,0,5,full,fixed504,union,dgtw
ld2_enet_characteristics_full_dgtw_select_retain,enet,characteristics,0,rank_ic,0.06069336327889996,0.0016285878184702312,37.26747958603214,5.521887628888632e-304,0.05750138980903765,0.06388533674876226,2266,2266,0,5,full,select,retain,dgtw
ld2_enet_characteristics_full_dgtw_select_retain,enet,characteristics,0,ew_spread_bp,16.005799777462283,3.575757823255828,4.476197933026838,7.598404534331524e-06,8.99744322644352,23.014156328481043,2266,2266,0,5,full,select,retain,dgtw
ld2_enet_characteristics_full_dgtw_select_retain,enet,characteristics,0,cap_spread_bp,11.60065176238126,3.9525437918747084,2.9349837404025374,0.003335651664969979,3.853808282989452,19.347495241773068,2266,2266,0,5,full,select,retain,dgtw
ld2_enet_characteristics_full_dgtw_select_recent,enet,characteristics,0,rank_ic,0.060850857470022425,0.0016479827492606812,36.92445051219217,1.8728053361184288e-298,0.057620870634328185,0.06408084430571666,2266,2266,0,5,full,select,recent,dgtw
ld2_enet_characteristics_full_dgtw_select_recent,enet,characteristics,0,ew_spread_bp,16.753579780158034,3.471447015572321,4.82610845131852,1.3922671245321196e-06,9.949668655397229,23.55749090491884,2266,2266,0,5,full,select,recent,dgtw
ld2_enet_characteristics_full_dgtw_select_recent,enet,characteristics,0,cap_spread_bp,9.844784037085963,4.112012999446087,2.3941519733551706,0.016658844701517773,1.7853866542111128,17.904181419960814,2266,2266,0,5,full,select,recent,dgtw
ld2_enet_characteristics_full_dgtw_select_union,enet,characteristics,0,rank_ic,0.060962669543898194,0.0016394861054652924,37.1840110999884,1.237341571684244e-302,0.05774933582403238,0.064176003263764,2266,2266,0,5,full,select,union,dgtw
ld2_enet_characteristics_full_dgtw_select_union,enet,characteristics,0,ew_spread_bp,16.65366526599929,3.563288439246569,4.673678695940929,2.9585205598817675e-06,9.669748258548076,23.637582273450505,2266,2266,0,5,full,select,union,dgtw
ld2_enet_characteristics_full_dgtw_select_union,enet,characteristics,0,cap_spread_bp,11.61501159909939,4.112626698736329,2.8242319203608464,0.004739407709188913,3.5544113877183268,19.675611810480454,2266,2266,0,5,full,select,union,dgtw
