model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,basis,interaction_term,n_features,representation,transform,penalty_grid,pca_grid,history_policy,refit_policy,target,horizon,target_column,stock_days
li1_ridge_additive_cs_joint_raw_fixed504_union,ridge,characteristics_core,504,cap_spread_bp,91.08158981857912,47.33060289338105,1.9243699477852294,0.05430822858534758,-1.684687219015018,183.84786685617325,2266,2266,0,9,additive_cs,,36,full,standard,original,none,fixed504,union,raw,10,f_cumret10,3027488
li1_enet_additive_cs_joint_raw_fixed504_union,enet,characteristics_core,504,rank_ic,0.11014627374485104,0.009591179125093888,11.484122265704512,1.5853737574695705e-30,0.09134790809039464,0.12894463939930745,2266,2266,0,9,additive_cs,,36,full,standard,original,none,fixed504,union,raw,10,f_cumret10,3027488
li1_enet_additive_cs_joint_raw_fixed504_union,enet,characteristics_core,504,ew_spread_bp,127.61859983776574,44.48466454830928,2.868822348860808,0.004120031355163232,40.4302594587338,214.80694021679767,2266,2266,0,9,additive_cs,,36,full,standard,original,none,fixed504,union,raw,10,f_cumret10,3027488
li1_enet_additive_cs_joint_raw_fixed504_union,enet,characteristics_core,504,cap_spread_bp,98.0448521409424,44.2079668478562,2.217809574422827,0.026567819032828198,11.398829289403551,184.69087499248124,2266,2266,0,9,additive_cs,,36,full,standard,original,none,fixed504,union,raw,10,f_cumret10,3027488
li1_ols_additive_cst_full_joint_raw_fixed504_union,ols,characteristics_textcore,504,rank_ic,0.1014889474182304,0.008178064657194705,12.409897900347957,2.3094709858136552e-35,0.08546023522688888,0.11751765960957193,2266,2266,0,9,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,10,f_cumret10,3027488
li1_ols_additive_cst_full_joint_raw_fixed504_union,ols,characteristics_textcore,504,ew_spread_bp,138.82446220853788,39.57192510797401,3.508155386167043,0.00045122541302161884,61.264914197992525,216.38401021908322,2266,2266,0,9,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,10,f_cumret10,3027488
li1_ols_additive_cst_full_joint_raw_fixed504_union,ols,characteristics_textcore,504,cap_spread_bp,90.98040701492228,38.17556762092749,2.3832103275668826,0.017162385532998335,16.157669388530962,165.8031446413136,2266,2266,0,9,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,10,f_cumret10,3027488
li1_ridge_additive_cst_full_joint_raw_fixed504_union,ridge,characteristics_textcore,504,rank_ic,0.10856164348163852,0.009241963035535768,11.74660005284744,7.351768765434331e-32,0.09044772878553795,0.1266755581777391,2266,2266,0,9,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,10,f_cumret10,3027488
li1_ridge_additive_cst_full_joint_raw_fixed504_union,ridge,characteristics_textcore,504,ew_spread_bp,133.59587427784288,43.955225240293174,3.0393627503329754,0.002370792002070707,47.44521587452232,219.74653268116344,2266,2266,0,9,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,10,f_cumret10,3027488
li1_ridge_additive_cst_full_joint_raw_fixed504_union,ridge,characteristics_textcore,504,cap_spread_bp,91.82622360277416,45.41604271301288,2.021889581684394,0.043187760310313274,2.8124155649361597,180.84003164061215,2266,2266,0,9,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,10,f_cumret10,3027488
