model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,target,year
ols_characteristics_textcore_raw_fit252_val126,ols,characteristics_textcore,252,cap_spread_bp,-22.102697012365564,23.458435332003088,-0.9422067882853226,0.34608677914075203,-68.08038539675353,23.874991372022397,253,253,0,5,raw,2020
ridge_characteristics_textcore_raw_fit252_val126,ridge,characteristics_textcore,252,rank_ic,0.06777214338808567,0.0094689085878335,7.157334212220126,8.226097940977378e-13,0.049213423583029985,0.08633086319314134,253,253,0,5,raw,2020
ridge_characteristics_textcore_raw_fit252_val126,ridge,characteristics_textcore,252,ew_spread_bp,-30.752819608634628,22.398392240612406,-1.3729922790116207,0.1697547469952485,-74.65286171183635,13.147222494567092,253,253,0,5,raw,2020
ridge_characteristics_textcore_raw_fit252_val126,ridge,characteristics_textcore,252,cap_spread_bp,-23.800524171885634,30.504800728335148,-0.7802222471093844,0.43526006962632535,-83.58883495499373,35.98778661122247,253,253,0,5,raw,2020
lasso_characteristics_textcore_raw_fit252_val126,lasso,characteristics_textcore,252,rank_ic,0.06539906311966096,0.009286408589700236,7.042449455885079,1.8888936474116534e-12,0.0471980367381251,0.08360008950119681,253,253,0,5,raw,2020
lasso_characteristics_textcore_raw_fit252_val126,lasso,characteristics_textcore,252,ew_spread_bp,-30.42992577053353,23.43281848915831,-1.2986028882787863,0.19408024626318532,-76.3574060655481,15.497554524481046,253,253,0,5,raw,2020
lasso_characteristics_textcore_raw_fit252_val126,lasso,characteristics_textcore,252,cap_spread_bp,-33.78212331837476,31.473149926321117,-1.0733632762357428,0.28310815482927154,-95.4683636539936,27.90411701724409,253,253,0,5,raw,2020
enet_characteristics_textcore_raw_fit252_val126,enet,characteristics_textcore,252,rank_ic,0.06556851530819431,0.009334644683802478,7.024211154171634,2.152790336798494e-12,0.047272947919463175,0.08386408269692544,253,253,0,5,raw,2020
enet_characteristics_textcore_raw_fit252_val126,enet,characteristics_textcore,252,ew_spread_bp,-30.193909662380253,23.73826611729047,-1.2719509299117524,0.20339055458010447,-76.72005630769704,16.332236982936532,253,253,0,5,raw,2020
enet_characteristics_textcore_raw_fit252_val126,enet,characteristics_textcore,252,cap_spread_bp,-30.544097228986875,31.190245690664366,-0.9792836366828975,0.3274398533085564,-91.67585545164465,30.587660993670905,253,253,0,5,raw,2020
ols_characteristics_textall_raw_fit252_val126,ols,characteristics_textall,252,rank_ic,0.06503794100577756,0.007660479805762353,8.490061021615752,2.065286280279714e-17,0.05002367648218696,0.08005220552936816,253,253,0,5,raw,2020
ols_characteristics_textall_raw_fit252_val126,ols,characteristics_textall,252,ew_spread_bp,-8.120852632373664,19.23495851922558,-0.4221923652321252,0.6728846137456274,-45.820678574177684,29.57897330943036,253,253,0,5,raw,2020
ols_characteristics_textall_raw_fit252_val126,ols,characteristics_textall,252,cap_spread_bp,-25.451453859065595,21.49680530200564,-1.183964477581745,0.23642712467129146,-67.58441803366634,16.681510315535142,253,253,0,5,raw,2020
ridge_characteristics_textall_raw_fit252_val126,ridge,characteristics_textall,252,rank_ic,0.06774928018386793,0.008875099488063082,7.633636138388084,2.2822346285713926e-14,0.05035440482805442,0.08514415553968144,253,253,0,5,raw,2020
ridge_characteristics_textall_raw_fit252_val126,ridge,characteristics_textall,252,ew_spread_bp,-21.256681489703826,21.00747421718414,-1.0118627908306956,0.3116036624072278,-62.430574361538504,19.917211382130855,253,253,0,5,raw,2020
ridge_characteristics_textall_raw_fit252_val126,ridge,characteristics_textall,252,cap_spread_bp,-9.840503024088315,23.411962207809072,-0.42031944767132806,0.6742521047344179,-55.72710575880694,36.046099710630315,253,253,0,5,raw,2020
lasso_characteristics_textall_raw_fit252_val126,lasso,characteristics_textall,252,rank_ic,0.06609475507908703,0.009101012577885686,7.262351800247916,3.80417220028235e-13,0.04825709820358506,0.083932411954589,253,253,0,5,raw,2020
lasso_characteristics_textall_raw_fit252_val126,lasso,characteristics_textall,252,ew_spread_bp,-25.68296091197407,22.49671892254007,-1.1416314085802806,0.2536072628303012,-69.77571977047333,18.409797946525195,253,253,0,5,raw,2020
lasso_characteristics_textall_raw_fit252_val126,lasso,characteristics_textall,252,cap_spread_bp,-27.500919682000617,28.549105496462776,-0.9632848106364653,0.33540461377353326,-83.45613824590215,28.45429888190092,253,253,0,5,raw,2020
enet_characteristics_textall_raw_fit252_val126,enet,characteristics_textall,252,rank_ic,0.06627990617595339,0.009142214935889327,7.249873979199537,4.171595845012243e-13,0.04836149416268615,0.08419831818922063,253,253,0,5,raw,2020
enet_characteristics_textall_raw_fit252_val126,enet,characteristics_textall,252,ew_spread_bp,-26.46739556351315,22.865113677553214,-1.1575448929211454,0.24704980892421202,-71.28219487393164,18.347403746905336,253,253,0,5,raw,2020
enet_characteristics_textall_raw_fit252_val126,enet,characteristics_textall,252,cap_spread_bp,-25.16541307144413,28.62410381493303,-0.8791685928107723,0.3793098708122822,-81.26762563844844,30.93679949556017,253,253,0,5,raw,2020
ols_characteristics_raw_fit756_val126,ols,characteristics,756,rank_ic,0.06697942172335199,0.009724938449389235,6.887387727123205,5.68261885310551e-12,0.04791889261068029,0.08603995083602368,253,253,0,5,raw,2020
ols_characteristics_raw_fit756_val126,ols,characteristics,756,ew_spread_bp,-22.484640529492193,21.28711901438257,-1.0562556875028755,0.2908514150292443,-64.2066271322998,19.23734607331541,253,253,0,5,raw,2020
ols_characteristics_raw_fit756_val126,ols,characteristics,756,cap_spread_bp,-33.79239861484965,29.723852985619782,-1.1368781372723855,0.25558923280417245,-92.05007994842778,24.465282718728474,253,253,0,5,raw,2020
ridge_characteristics_raw_fit756_val126,ridge,characteristics,756,rank_ic,0.06709138952646145,0.010413813672570703,6.442537924715873,1.1749199217079143e-10,0.046680689786512075,0.08750208926641082,253,253,0,5,raw,2020
ridge_characteristics_raw_fit756_val126,ridge,characteristics,756,ew_spread_bp,-35.00636662512809,22.980516149903757,-1.523306369481814,0.12768207435163031,-80.04735062508053,10.034617374824343,253,253,0,5,raw,2020
