model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,representation,transform,penalty_grid,pca_grid,history_policy,refit_policy,target,subgroup,stock_days
ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ridge,characteristics,504,ew_spread_bp,-4.527891090563475,5.006200437558694,-0.9044566127622989,0.36575333066920523,-14.339863647567174,5.284081466440224,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,activity_tercile_1,1152254
ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ridge,characteristics,504,cap_spread_bp,6.229017445558367,5.172469884740931,1.20426364664477,0.22848769283839687,-3.908837239651901,16.366872130768634,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,activity_tercile_1,1152254
ld3_lasso_characteristics_full_raw_standard_original_none_fixed504_union,lasso,characteristics,504,rank_ic,0.04159436905343165,0.003548789267492341,11.7207210454689,9.981875746725274e-32,0.03463886990042438,0.04854986820643892,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,activity_tercile_1,1152254
ld3_lasso_characteristics_full_raw_standard_original_none_fixed504_union,lasso,characteristics,504,ew_spread_bp,-4.162368404249015,4.876241305760626,-0.8536018099292451,0.3933256553547039,-13.719625743466407,5.394888934968376,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,activity_tercile_1,1152254
ld3_lasso_characteristics_full_raw_standard_original_none_fixed504_union,lasso,characteristics,504,cap_spread_bp,5.759839251903542,5.068203407400477,1.1364656839725795,0.25576171950209414,-4.173656892924577,15.693335396731662,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,activity_tercile_1,1152254
ld3_lasso_characteristics_full_raw_standard_expanded_none_fixed504_union,lasso,characteristics,504,rank_ic,0.04132153242988279,0.003556415429373236,11.618871093798251,3.304740966829635e-31,0.034351086274248696,0.048291978585516884,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,activity_tercile_1,1152254
ld3_lasso_characteristics_full_raw_standard_expanded_none_fixed504_union,lasso,characteristics,504,ew_spread_bp,-6.1637371754778965,4.876332165567509,-1.2640109340788845,0.2062261024547123,-15.721172596644422,3.393698245688629,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,activity_tercile_1,1152254
ld3_lasso_characteristics_full_raw_standard_expanded_none_fixed504_union,lasso,characteristics,504,cap_spread_bp,3.955092886447532,5.002980591278346,0.7905473176015138,0.4292081998193801,-5.8505688878109305,13.760754660705995,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,activity_tercile_1,1152254
ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,enet,characteristics,504,rank_ic,0.04140791084802254,0.0035605410639395845,11.629668105051,2.9122767280819476e-31,0.03442937859722503,0.04838644309882005,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,activity_tercile_1,1152254
ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,enet,characteristics,504,ew_spread_bp,-4.279575257119886,4.900937059537849,-0.8732157146950675,0.3825455109229493,-13.885235384311704,5.3260848700719325,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,activity_tercile_1,1152254
ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,enet,characteristics,504,cap_spread_bp,7.081710913897775,5.096276192711748,1.3895853847217745,0.16465481637766188,-2.906806879086159,17.07022870688171,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,activity_tercile_1,1152254
ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,enet,characteristics,504,rank_ic,0.04106368597703281,0.0035641580003292887,11.521286647011435,1.0306044294200002e-30,0.034078064661177104,0.04804930729288852,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,activity_tercile_1,1152254
